Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-04-01 04:52:00,2016-04-01 00:52:00,2016-04-01 04:55:00,2016-04-01 00:55:00,3.2,47,101
inactive,2016-04-01 04:55:00,2016-04-01 00:55:00,2016-04-01 09:05:00,2016-04-01 05:05:00,277.1,0,83
light_activity,2016-04-01 09:05:00,2016-04-01 05:05:00,2016-04-01 09:13:00,2016-04-01 05:13:00,18.7,168,100
inactive,2016-04-01 09:13:00,2016-04-01 05:13:00,2016-04-01 09:20:00,2016-04-01 05:20:00,9,0,87
off_wrist,2016-04-01 09:20:00,2016-04-01 05:20:00,2016-04-01 10:00:00,2016-04-01 06:00:00,42.9,0,
inactive,2016-04-01 10:00:00,2016-04-01 06:00:00,2016-04-01 10:30:00,2016-04-01 06:30:00,32.6,0,81
light_activity,2016-04-01 10:30:00,2016-04-01 06:30:00,2016-04-01 10:36:00,2016-04-01 06:36:00,12.3,77,96
off_wrist,2016-04-01 10:36:00,2016-04-01 06:36:00,2016-04-01 10:53:00,2016-04-01 06:53:00,18.2,0,
light_activity,2016-04-01 10:53:00,2016-04-01 06:53:00,2016-04-01 11:00:00,2016-04-01 07:00:00,19.4,142,108
inactive,2016-04-01 11:00:00,2016-04-01 07:00:00,2016-04-01 11:09:00,2016-04-01 07:09:00,10.3,0,81
light_activity,2016-04-01 11:09:00,2016-04-01 07:09:00,2016-04-01 11:20:00,2016-04-01 07:20:00,19.7,262,95
inactive,2016-04-01 11:20:00,2016-04-01 07:20:00,2016-04-01 11:39:00,2016-04-01 07:39:00,27.1,0,89
light_activity,2016-04-01 11:39:00,2016-04-01 07:39:00,2016-04-01 11:44:00,2016-04-01 07:44:00,15.6,115,101
inactive,2016-04-01 11:44:00,2016-04-01 07:44:00,2016-04-01 12:05:00,2016-04-01 08:05:00,25.1,0,83
light_activity,2016-04-01 12:05:00,2016-04-01 08:05:00,2016-04-01 12:11:00,2016-04-01 08:11:00,14.2,242,102
inactive,2016-04-01 12:11:00,2016-04-01 08:11:00,2016-04-01 12:14:00,2016-04-01 08:14:00,4.1,0,90
