Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-02-01 10:35:00,2016-02-01 02:35:00,2016-02-01 10:39:00,2016-02-01 02:39:00,4.2,68,69
inactive,2016-02-01 10:39:00,2016-02-01 02:39:00,2016-02-01 13:20:00,2016-02-01 05:20:00,169.7,0,58
light_activity,2016-02-01 13:20:00,2016-02-01 05:20:00,2016-02-01 13:21:00,2016-02-01 05:21:00,1,8,83
inactive,2016-02-01 13:21:00,2016-02-01 05:21:00,2016-02-01 13:39:00,2016-02-01 05:39:00,19.9,0,68
light_activity,2016-02-01 13:39:00,2016-02-01 05:39:00,2016-02-01 13:43:00,2016-02-01 05:43:00,17.1,12,104
inactive,2016-02-01 13:43:00,2016-02-01 05:43:00,2016-02-01 13:51:00,2016-02-01 05:51:00,9.8,0,70
light_activity,2016-02-01 13:51:00,2016-02-01 05:51:00,2016-02-01 13:53:00,2016-02-01 05:53:00,2.6,14,75
off_wrist,2016-02-01 13:53:00,2016-02-01 05:53:00,2016-02-01 14:34:00,2016-02-01 06:34:00,43.2,0,
light_activity,2016-02-01 14:34:00,2016-02-01 06:34:00,2016-02-01 14:47:00,2016-02-01 06:47:00,53.8,340,102
inactive,2016-02-01 14:47:00,2016-02-01 06:47:00,2016-02-01 14:50:00,2016-02-01 06:50:00,6.2,0,87
light_activity,2016-02-01 14:50:00,2016-02-01 06:50:00,2016-02-01 14:51:00,2016-02-01 06:51:00,2.2,82,88
moderate_activity,2016-02-01 14:51:00,2016-02-01 06:51:00,2016-02-01 15:14:00,2016-02-01 07:14:00,155.4,183,114
inactive,2016-02-01 15:14:00,2016-02-01 07:14:00,2016-02-01 15:20:00,2016-02-01 07:20:00,7.5,0,75
light_activity,2016-02-01 15:20:00,2016-02-01 07:20:00,2016-02-01 15:21:00,2016-02-01 07:21:00,1.1,19,67
inactive,2016-02-01 15:21:00,2016-02-01 07:21:00,2016-02-01 15:36:00,2016-02-01 07:36:00,17.3,0,68
light_activity,2016-02-01 15:36:00,2016-02-01 07:36:00,2016-02-01 15:37:00,2016-02-01 07:37:00,1.9,21,83
inactive,2016-02-01 15:37:00,2016-02-01 07:37:00,2016-02-01 16:22:00,2016-02-01 08:22:00,49.3,0,59
light_activity,2016-02-01 16:22:00,2016-02-01 08:22:00,2016-02-01 16:59:00,2016-02-01 08:59:00,175.7,320,104
inactive,2016-02-01 16:59:00,2016-02-01 08:59:00,2016-02-01 17:03:00,2016-02-01 09:03:00,6.2,0,82
light_activity,2016-02-01 17:03:00,2016-02-01 09:03:00,2016-02-01 17:04:00,2016-02-01 09:04:00,4.8,0,103
inactive,2016-02-01 17:04:00,2016-02-01 09:04:00,2016-02-01 17:08:00,2016-02-01 09:08:00,6.2,0,86
light_activity,2016-02-01 17:08:00,2016-02-01 09:08:00,2016-02-01 17:09:00,2016-02-01 09:09:00,3.1,0,100
inactive,2016-02-01 17:09:00,2016-02-01 09:09:00,2016-02-01 17:15:00,2016-02-01 09:15:00,8.8,0,79
light_activity,2016-02-01 17:15:00,2016-02-01 09:15:00,2016-02-01 17:19:00,2016-02-01 09:19:00,18,0,102
inactive,2016-02-01 17:19:00,2016-02-01 09:19:00,2016-02-01 17:38:00,2016-02-01 09:38:00,28.1,0,80
light_activity,2016-02-01 17:38:00,2016-02-01 09:38:00,2016-02-01 17:45:00,2016-02-01 09:45:00,27.7,0,101
inactive,2016-02-01 17:45:00,2016-02-01 09:45:00,2016-02-01 17:49:00,2016-02-01 09:49:00,6.9,0,86
light_activity,2016-02-01 17:49:00,2016-02-01 09:49:00,2016-02-01 17:52:00,2016-02-01 09:52:00,16.4,0,113
inactive,2016-02-01 17:52:00,2016-02-01 09:52:00,2016-02-01 18:02:00,2016-02-01 10:02:00,14.4,0,82
light_activity,2016-02-01 18:02:00,2016-02-01 10:02:00,2016-02-01 18:03:00,2016-02-01 10:03:00,3.3,0,98
inactive,2016-02-01 18:03:00,2016-02-01 10:03:00,2016-02-01 18:06:00,2016-02-01 10:06:00,4.2,0,79
light_activity,2016-02-01 18:06:00,2016-02-01 10:06:00,2016-02-01 18:14:00,2016-02-01 10:14:00,25.3,0,102
moderate_activity,2016-02-01 18:14:00,2016-02-01 10:14:00,2016-02-01 18:27:00,2016-02-01 10:27:00,80.5,188,112
inactive,2016-02-01 18:27:00,2016-02-01 10:27:00,2016-02-01 18:30:00,2016-02-01 10:30:00,3.7,0,72
light_activity,2016-02-01 18:30:00,2016-02-01 10:30:00,2016-02-01 18:31:00,2016-02-01 10:31:00,1.4,6,78
inactive,2016-02-01 18:31:00,2016-02-01 10:31:00,2016-02-01 18:42:00,2016-02-01 10:42:00,17.4,0,80
light_activity,2016-02-01 18:42:00,2016-02-01 10:42:00,2016-02-01 18:46:00,2016-02-01 10:46:00,11.9,121,97
moderate_activity,2016-02-01 18:46:00,2016-02-01 10:46:00,2016-02-01 18:57:00,2016-02-01 10:57:00,66.5,1106,112
